Date,Item/Description,Amount,Mode,Remarks,Monthss,Paid/Unpaid,Paid By,Payment Date,Category,ID,Adv Check,PnL Category,PnL Type,Check,,,,,,,,Check
08/03/2026,Chicken,5331,Bank,Golden food,03-2026,Unpaid,,08/03/2026,Inventory,6541,,COGS - NonVeg,Expense,0,,,,,,,,
08/03/2026,Hotel Commision,1652,Bank,elite hotel ,03-2026,Paid,,08/03/2026,Fixed Maintance,6542,,OpEx - Admin,Expense,0,,,,,,,,
08/03/2026,Hotel Commision,933,Bank,shiv sai hotel,03-2026,Paid,,08/03/2026,Fixed Maintance,6543,,OpEx - Admin,Expense,0,,,,,,,,
08/03/2026,Hotel Commision,1463,Bank,cornet hotel,03-2026,Paid,,08/03/2026,Fixed Maintance,6544,,OpEx - Admin,Expense,0,,,,,,,,
08/03/2026,Hotel Commision,753,Bank,one tree,03-2026,Paid,,08/03/2026,Fixed Maintance,6545,,OpEx - Admin,Expense,0,,,,,,,,
08/03/2026,Hotel Commision,128,Bank,Aadya hotel,03-2026,Paid,,08/03/2026,Fixed Maintance,6546,,OpEx - Admin,Expense,0,,,,,,,,
08/03/2026,Hotel Commision,528,Bank,distenation,03-2026,Paid,,08/03/2026,Fixed Maintance,6547,,OpEx - Admin,Expense,0,,,,,,,,
08/03/2026,Sales,4409,Cash,petpooja,03-2026,,,,Sales,6548,,Revenue,Income,0,,,,,,,,
08/03/2026,Sales,22469,Wallet,petpooja,03-2026,,,,Sales,6549,,Revenue,Income,0,,,,,,,,
08/03/2026,Sales,620,Zomato Pay,petpooja,03-2026,,,,Sales,6550,,Revenue,Income,0,,,,,,,,
08/03/2026,Sales,2069,Online Sale,petpooja,03-2026,,,,Sales,6551,,Revenue,Income,0,,,,,,,,
08/03/2026,Sales,700,UPI,petpooja,03-2026,,,,Sales,6552,,Revenue,Income,0,,,,,,,,
08/03/2026,Grocery,12022,Bank,balaji,03-2026,Unpaid,,,Inventory,6553,,COGS - Grocery,Expense,0,,,,,,,,
08/03/2026,Tea,50,Cash,tea,03-2026,,,,Staff Expenses,6554,,OpEx - Labor,Expense,0,,,,,,,,
08/03/2026,Dairy,36,Cash,milk,03-2026,Paid,Naseem,08/02/2026,Inventory,6555,,COGS - Dairy,Expense,0,,,,,,,,
09/03/2026,Egg,409,Cash,mulani,03-2026,Paid,Naseem,08/02/2026,Grocery,6556,,COGS - Grocery,Expense,0,,,,,,,,
09/03/2026,Charcoal,1800,Bank,Gyaneawari,03-2026,Unpaid,,,Inventory,6557,,COGS - Fuel,Expense,0,,,,,,,,
09/03/2026,Vegetables,50,Cash,raw papaya,03-2026,Paid,Naseem,09/03/2026,Inventory,6558,,COGS - Veg,Expense,0,,,,,,,,
09/03/2026,Grocery,30,Cash,Maggy,03-2026,Paid,Naseem,09/03/2026,Inventory,6559,,COGS - Grocery,Expense,0,,,,,,,,
